era,year,month,sector,variable,spread,n_products,max_val,min_val
CS2,2013,7,Western_Pacific,hfi,0.06011389195919037,5,0.1869456022977829,0.12683171033859253
CS2,2013,7,Western_Pacific,hs,0.05462834984064102,5,0.17490798234939575,0.12027963250875473
CS2,2013,7,Western_Pacific,hsc,0.005971070379018784,5,0.038193266838788986,0.0322221964597702
CS2,2013,7,Western_Weddell,hfr,0.1003781259059906,5,0.21959581971168518,0.11921769380569458
CS2,2013,7,Western_Weddell,hfi,0.09490697085857391,5,0.2922707498073578,0.19736377894878387
CS2,2013,7,Western_Weddell,hs,0.12728960812091827,5,0.32825320959091187,0.2009636014699936
CS2,2013,7,Western_Weddell,hsc,0.028618108481168747,5,0.078279510140419,0.04966140165925026
CS2,2013,8,Amundsen_Bellingshausen,hfr,0.052807971835136414,5,0.10511631518602371,0.0523083433508873
CS2,2013,8,Amundsen_Bellingshausen,hfi,0.04716076701879501,5,0.1422126144170761,0.0950518473982811
CS2,2013,8,Amundsen_Bellingshausen,hs,0.05178448557853699,5,0.18050557374954224,0.12872108817100525
CS2,2013,8,Amundsen_Bellingshausen,hsc,0.006862848997116089,5,0.042822983115911484,0.035960134118795395
CS2,2013,8,Eastern_Weddell,hfr,0.06293321400880814,5,0.12050632387399673,0.0575731098651886
CS2,2013,8,Eastern_Weddell,hfi,0.06143786013126373,5,0.16671514511108398,0.10527728497982025
CS2,2013,8,Eastern_Weddell,hs,0.06281216442584991,5,0.21439671516418457,0.15158455073833466
CS2,2013,8,Eastern_Weddell,hsc,0.006524059921503067,5,0.04773205891251564,0.04120799899101257
CS2,2013,8,Indian,hfr,0.03679722920060158,5,0.08097807317972183,0.044180843979120255
CS2,2013,8,Indian,hfi,0.035804763436317444,5,0.10717234015464783,0.07136757671833038
CS2,2013,8,Indian,hs,0.053148604929447174,5,0.16590289771556854,0.11275429278612137
CS2,2013,8,Indian,hsc,0.009040161967277527,5,0.03622690215706825,0.027186740189790726
CS2,2013,8,Ross,hfr,0.04293311387300491,5,0.10657176375389099,0.06363864988088608
CS2,2013,8,Ross,hfi,0.04429822415113449,5,0.15651439130306244,0.11221616715192795
CS2,2013,8,Ross,hs,0.10189967602491379,5,0.21811309456825256,0.11621341854333878
CS2,2013,8,Ross,hsc,0.016140170395374298,5,0.04860610142350197,0.03246593102812767
CS2,2013,8,Western_Pacific,hfr,0.04183182865381241,5,0.13861723244190216,0.09678540378808975
CS2,2013,8,Western_Pacific,hfi,0.04474334418773651,5,0.1732041984796524,0.1284608542919159
CS2,2013,8,Western_Pacific,hs,0.07522562146186829,5,0.18860942125320435,0.11338379979133606
CS2,2013,8,Western_Pacific,hsc,0.009509705007076263,5,0.04118514433503151,0.031675439327955246
CS2,2013,8,Western_Weddell,hfr,0.11155582964420319,5,0.23777005076408386,0.12621422111988068
CS2,2013,8,Western_Weddell,hfi,0.10915486514568329,5,0.3102237582206726,0.20106889307498932
CS2,2013,8,Western_Weddell,hs,0.11801332235336304,5,0.3247239887714386,0.20671066641807556
CS2,2013,8,Western_Weddell,hsc,0.02318441867828369,5,0.07495969533920288,0.05177527666091919
CS2,2013,9,Amundsen_Bellingshausen,hfr,0.06309946998953819,5,0.12535060942173004,0.06225113943219185
CS2,2013,9,Amundsen_Bellingshausen,hfi,0.060511887073516846,5,0.16852618753910065,0.1080143004655838
CS2,2013,9,Amundsen_Bellingshausen,hs,0.07877729833126068,5,0.21520689129829407,0.1364295929670334
CS2,2013,9,Amundsen_Bellingshausen,hsc,0.008879404515028,5,0.04699302464723587,0.03811362013220787
CS2,2013,9,Eastern_Weddell,hfr,0.0780760869383812,5,0.14161212742328644,0.06353604048490524
CS2,2013,9,Eastern_Weddell,hfi,0.07986161857843399,5,0.18829068541526794,0.10842906683683395
CS2,2013,9,Eastern_Weddell,hs,0.0658123642206192,5,0.2123333364725113,0.1465209722518921
CS2,2013,9,Eastern_Weddell,hsc,0.005432754755020142,5,0.04636554792523384,0.0409327931702137
CS2,2013,9,Indian,hfr,0.03598979115486145,5,0.07888097316026688,0.042891182005405426
CS2,2013,9,Indian,hfi,0.03907536715269089,5,0.10899358242750168,0.06991821527481079
CS2,2013,9,Indian,hs,0.06374731659889221,5,0.17727455496788025,0.11352723836898804
CS2,2013,9,Indian,hsc,0.011683017015457153,5,0.03871004283428192,0.027027025818824768
