era,product,sector,variable,multiyear_mean,multiyear_std,n_years
CS2,LEGOS_I_CS2,Eastern_Weddell,hfr,0.1037129115106331,0.018084297157743706,6
CS2,LEGOS_I_CS2,Eastern_Weddell,hs,0.17896454615725413,0.02988138970434969,6
CS2,LEGOS_I_CS2,Eastern_Weddell,hsc,0.03855544752958748,0.0064182232789985845,6
CS2,LEGOS_I_CS2,Indian,hfi,0.08514128045903313,0.004083153892679964,6
CS2,LEGOS_I_CS2,Indian,hfr,0.0649248052181469,0.002961903449068864,6
CS2,LEGOS_I_CS2,Indian,hs,0.10195922872258557,0.007242054665027405,6
CS2,LEGOS_I_CS2,Indian,hsc,0.021953121112245653,0.0015618754414747189,6
CS2,LEGOS_I_CS2,Ross,hfi,0.13040379227863416,0.01732110169536194,6
CS2,LEGOS_I_CS2,Ross,hfr,0.09319457484202254,0.012620536924161315,6
CS2,LEGOS_I_CS2,Ross,hs,0.17313387307027975,0.021526034857540025,6
CS2,LEGOS_I_CS2,Ross,hsc,0.03733275318518282,0.0046260341341362145,6
CS2,LEGOS_I_CS2,Western_Pacific,hfi,0.14591941320233875,0.022988510000255733,6
CS2,LEGOS_I_CS2,Western_Pacific,hfr,0.12001236859295104,0.0191737746750969,6
CS2,LEGOS_I_CS2,Western_Pacific,hs,0.13320907143255076,0.018856046600571448,6
CS2,LEGOS_I_CS2,Western_Pacific,hsc,0.02868285640660259,0.004062099649313495,6
CS2,LEGOS_I_CS2,Western_Weddell,hfi,0.2502625762588448,0.026782253446305537,6
CS2,LEGOS_I_CS2,Western_Weddell,hfr,0.18023349800043634,0.020353850530605226,6
CS2,LEGOS_I_CS2,Western_Weddell,hs,0.32076306392749154,0.044262431733259555,6
CS2,LEGOS_I_CS2,Western_Weddell,hsc,0.06893173822512229,0.009517533440376813,6
