reference,sector,variable,spread_A,spread_B,spread_C,spread_D,reduction_B_pct,reduction_C_pct,reduction_D_pct
LEGOS_II,Western_Weddell,hsc,0.04081898288100139,0.03562183239611248,0.009411146687564598,0.0,12.73219006960569,76.94419110098679,100.0
LEGOS_II,Western_Weddell,hfi,0.09849657509003863,0.09423543061822931,0.09767446431404865,0.09445704889293766,4.326185421080971,0.8346592510840766,4.101184425355223
LEGOS_II,Eastern_Weddell,hfr,0.056209383137329226,0.056209383137329226,0.056209383137329226,0.056209383137329226,0.0,0.0,0.0
LEGOS_II,Eastern_Weddell,hsc,0.020900514608712045,0.01822708789579466,0.007095993108257071,0.0,12.791200422419308,66.04871582779488,100.0
LEGOS_II,Eastern_Weddell,hfi,0.06290716633049294,0.059447815833540224,0.06275686000413716,0.06023283078405385,5.499135788088847,0.23893355101407693,4.251241476033169
LEGOS_II,Indian,hfr,0.0340437453825861,0.0340437453825861,0.0340437453825861,0.0340437453825861,0.0,0.0,0.0
LEGOS_II,Indian,hsc,0.02128240282713737,0.01778005941689896,0.006476392489042894,0.0,16.456522502114016,69.56926085063671,100.0
LEGOS_II,Indian,hfi,0.04075283937227484,0.038201469311793454,0.03492437322389605,0.033686964733365604,6.260594598513173,14.301987881472725,17.33836156632641
LEGOS_II,Western_Pacific,hfr,0.04096033887750989,0.04096033887750989,0.04096033887750989,0.04096033887750989,0.0,0.0,0.0
LEGOS_II,Western_Pacific,hsc,0.02852519302520256,0.024092334658229148,0.007949545087969988,0.0,15.540152044043648,72.13149414643254,100.0
LEGOS_II,Western_Pacific,hfi,0.052555916307125666,0.05052835864594212,0.04915233266959625,0.04708738133747341,3.857905643457772,6.476118916164622,10.405174819320619
LEGOS_II,Ross,hfr,0.04103916535088279,0.04103916535088279,0.04103916535088279,0.04103916535088279,0.0,0.0,0.0
LEGOS_II,Ross,hsc,0.022659317427606233,0.019935120410592883,0.0062506584974578675,0.0,12.022414292561233,72.41462141378283,100.0
LEGOS_II,Ross,hfi,0.044194248939637214,0.04092559263632364,0.05246832937154374,0.05006763664301106,7.396112348867089,-18.722074999413824,-13.289936687002015
LEGOS_II,Amundsen_Bellingshausen,hfr,0.047625479177276275,0.047625479177276275,0.047625479177276275,0.047625479177276275,0.0,0.0,0.0
LEGOS_II,Amundsen_Bellingshausen,hsc,0.02260855544775544,0.020009953066774038,0.006823660449934301,0.0,11.49388950119495,69.81823776533344,100.0
LEGOS_II,Amundsen_Bellingshausen,hfi,0.051304446464507415,0.04827739634919459,0.05501759464824114,0.052501193097888366,5.900171084404835,-7.237478307659923,-2.3326372582712955
CLIMATOLOGY,Western_Weddell,hfr,0.08227343652608363,0.08227343652608363,0.08227343652608363,0.08227343652608363,0.0,0.0,0.0
CLIMATOLOGY,Western_Weddell,hsc,0.04081898288100139,0.03562183239611248,0.010748425707136322,0.0,12.73219006960569,73.66807071486579,100.0
CLIMATOLOGY,Western_Weddell,hfi,0.09849657509003863,0.09423543061822931,0.08587927625529451,0.08227343652608361,4.326185421080971,12.809885849543779,16.470764134818868
CLIMATOLOGY,Eastern_Weddell,hfr,0.056209383137329226,0.056209383137329226,0.056209383137329226,0.056209383137329226,0.0,0.0,0.0
CLIMATOLOGY,Eastern_Weddell,hsc,0.020900514608712045,0.01822708789579466,0.00662206072817353,0.0,12.791200422419308,68.3162790383485,100.0
CLIMATOLOGY,Eastern_Weddell,hfi,0.06290716633049294,0.059447815833540224,0.05875041233494706,0.056209383137329226,5.499135788088847,6.607759080591396,10.647090918029638
CLIMATOLOGY,Indian,hfr,0.0340437453825861,0.0340437453825861,0.0340437453825861,0.0340437453825861,0.0,0.0,0.0
CLIMATOLOGY,Indian,hsc,0.02128240282713737,0.01778005941689896,0.0044524603630944105,0.0,16.456522502114016,79.07914628221847,100.0
CLIMATOLOGY,Indian,hfi,0.04075283937227484,0.038201469311793454,0.03508495235973152,0.0340437453825861,6.260594598513173,13.907956107714368,16.46288723198291
CLIMATOLOGY,Western_Pacific,hfr,0.04096033887750989,0.04096033887750989,0.04096033887750989,0.04096033887750989,0.0,0.0,0.0
CLIMATOLOGY,Western_Pacific,hsc,0.02852519302520256,0.024092334658229148,0.0053312392194990645,0.0,15.540152044043648,81.31041842630543,100.0
CLIMATOLOGY,Western_Pacific,hfi,0.052555916307125666,0.05052835864594212,0.042579131108778936,0.0409603388775099,3.857905643457772,18.9831819124692,22.06331512108678
CLIMATOLOGY,Ross,hfr,0.04103916535088279,0.04103916535088279,0.04103916535088279,0.04103916535088279,0.0,0.0,0.0
CLIMATOLOGY,Ross,hsc,0.022659317427606233,0.019935120410592883,0.006164832888421772,0.0,12.022414292561233,72.79338661405991,100.0
CLIMATOLOGY,Ross,hfi,0.044194248939637214,0.04092559263632364,0.043790411765203846,0.04103916535088279,7.396112348867089,0.9137776613987701,7.139127068464947
CLIMATOLOGY,Amundsen_Bellingshausen,hfr,0.047625479177276275,0.047625479177276275,0.047625479177276275,0.047625479177276275,0.0,0.0,0.0
CLIMATOLOGY,Amundsen_Bellingshausen,hsc,0.02260855544775544,0.020009953066774038,0.006448100010024146,0.0,11.49388950119495,71.4793807816487,100.0
CLIMATOLOGY,Amundsen_Bellingshausen,hfi,0.051304446464507415,0.04827739634919459,0.050324363253141546,0.04762547917727627,5.900171084404835,1.9103280103487594,7.170854654432864
