reference,year,month,item,value
CCI,2015,8,ref_hs_hash,09878d6cfa36
CCI,2015,8,ref_hs_summary,n=6725 mean=0.1773 std=0.0806
CCI,2015,8,caseD_hfi_hash_CCI_CS2,a221629c3690
CCI,2015,9,ref_hs_source,NPZ:CCI_CS2
CCI,2015,9,ref_hs_hash,c036565a290b
CCI,2015,9,ref_hs_summary,n=6900 mean=0.1685 std=0.0690
CCI,2015,9,caseD_hfi_hash_CCI_CS2,fead0ae87d02
CCI,2015,10,ref_hs_source,NPZ:CCI_CS2
CCI,2015,10,ref_hs_hash,cc922f998239
CCI,2015,10,ref_hs_summary,n=6689 mean=0.1583 std=0.0616
CCI,2015,10,caseD_hfi_hash_CCI_CS2,fb83f0528b94
CCI,2016,5,ref_hs_source,NPZ:CCI_CS2
CCI,2016,5,ref_hs_hash,4519331215bc
CCI,2016,5,ref_hs_summary,n=3953 mean=0.1571 std=0.0862
CCI,2016,5,caseD_hfi_hash_CCI_CS2,53f697beae2a
CCI,2016,6,ref_hs_source,NPZ:CCI_CS2
CCI,2016,6,ref_hs_hash,be1dc58d1d2e
CCI,2016,6,ref_hs_summary,n=5179 mean=0.1667 std=0.0830
CCI,2016,6,caseD_hfi_hash_CCI_CS2,7ed9db9d32a2
CCI,2016,7,ref_hs_source,NPZ:CCI_CS2
CCI,2016,7,ref_hs_hash,d5c4082a7411
CCI,2016,7,ref_hs_summary,n=6217 mean=0.1762 std=0.0801
CCI,2016,7,caseD_hfi_hash_CCI_CS2,61ef1eae134f
CCI,2016,8,ref_hs_source,NPZ:CCI_CS2
CCI,2016,8,ref_hs_hash,5d8f2b2cb669
CCI,2016,8,ref_hs_summary,n=6703 mean=0.1784 std=0.0801
CCI,2016,8,caseD_hfi_hash_CCI_CS2,1a1fd8e91a31
CCI,2016,9,ref_hs_source,NPZ:CCI_CS2
CCI,2016,9,ref_hs_hash,e0b4f9589a97
CCI,2016,9,ref_hs_summary,n=6851 mean=0.1691 std=0.0687
CCI,2016,9,caseD_hfi_hash_CCI_CS2,d5db14882daf
CCI,2016,10,ref_hs_source,NPZ:CCI_CS2
CCI,2016,10,ref_hs_hash,33b2483293a2
CCI,2016,10,ref_hs_summary,n=6538 mean=0.1582 std=0.0613
CCI,2016,10,caseD_hfi_hash_CCI_CS2,8392a1335fca
CCI,2017,5,ref_hs_source,NPZ:CCI_CS2
CCI,2017,5,ref_hs_hash,14016099dc4f
CCI,2017,5,ref_hs_summary,n=3779 mean=0.1581 std=0.0879
CCI,2017,5,caseD_hfi_hash_CCI_CS2,4f46d9cffcc8
CCI,2017,6,ref_hs_source,NPZ:CCI_CS2
CCI,2017,6,ref_hs_hash,350caa6a2c3d
CCI,2017,6,ref_hs_summary,n=5122 mean=0.1666 std=0.0839
CCI,2017,6,caseD_hfi_hash_CCI_CS2,ca6435b110c6
CCI,2017,7,ref_hs_source,NPZ:CCI_CS2
CCI,2017,7,ref_hs_hash,eaaee1d097bd
CCI,2017,7,ref_hs_summary,n=6169 mean=0.1764 std=0.0810
CCI,2017,7,caseD_hfi_hash_CCI_CS2,2027ffadfe8d
CCI,2017,8,ref_hs_source,NPZ:CCI_CS2
CCI,2017,8,ref_hs_hash,1081463993db
CCI,2017,8,ref_hs_summary,n=6681 mean=0.1774 std=0.0805
CCI,2017,8,caseD_hfi_hash_CCI_CS2,63512f54f450
CCI,2017,9,ref_hs_source,NPZ:CCI_CS2
CCI,2017,9,ref_hs_hash,44699c1319dd
CCI,2017,9,ref_hs_summary,n=6807 mean=0.1693 std=0.0685
CCI,2017,9,caseD_hfi_hash_CCI_CS2,cf18308c9a53
CCI,2017,10,ref_hs_source,NPZ:CCI_CS2
CCI,2017,10,ref_hs_hash,5b4881aad5a2
CCI,2017,10,ref_hs_summary,n=6645 mean=0.1580 std=0.0616
CCI,2017,10,caseD_hfi_hash_CCI_CS2,c9a53f33b880
CCI,2018,5,ref_hs_source,NPZ:CCI_CS2
CCI,2018,5,ref_hs_hash,b0195b7abab4
CCI,2018,5,ref_hs_summary,n=3773 mean=0.1579 std=0.0876
CCI,2018,5,caseD_hfi_hash_CCI_CS2,ee10aeac7f5b
CCI,2018,6,ref_hs_source,NPZ:CCI_CS2
CCI,2018,6,ref_hs_hash,c9ca003418b7
CCI,2018,6,ref_hs_summary,n=5174 mean=0.1666 std=0.0832
CCI,2018,6,caseD_hfi_hash_CCI_CS2,56b89a643db7
CCI,2018,7,ref_hs_source,NPZ:CCI_CS2
CCI,2018,7,ref_hs_hash,f7cfa7254380
CCI,2018,7,ref_hs_summary,n=6309 mean=0.1759 std=0.0810
CCI,2018,7,caseD_hfi_hash_CCI_CS2,49ab6bad9400
CCI,2018,8,ref_hs_source,NPZ:CCI_CS2
CCI,2018,8,ref_hs_hash,b621c37656cf
CCI,2018,8,ref_hs_summary,n=6783 mean=0.1768 std=0.0804
CCI,2018,8,caseD_hfi_hash_CCI_CS2,633b8eab303c
CCI,2018,9,ref_hs_source,NPZ:CCI_CS2
CCI,2018,9,ref_hs_hash,041590ec923c
CCI,2018,9,ref_hs_summary,n=6901 mean=0.1680 std=0.0683
CCI,2018,9,caseD_hfi_hash_CCI_CS2,84b339498847
CCI,2018,10,ref_hs_source,NPZ:CCI_CS2
CCI,2018,10,ref_hs_hash,caa21ba71b19
CCI,2018,10,ref_hs_summary,n=6745 mean=0.1578 std=0.0615
CCI,2018,10,caseD_hfi_hash_CCI_CS2,f7b2fcedb513
LEGOS_II,2013,5,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2013,5,ref_hs_hash,7acacab9cc68
LEGOS_II,2013,5,ref_hs_summary,n=2624 mean=0.1546 std=0.0885
LEGOS_II,2013,5,caseD_hfi_hash_CCI_CS2,e713a6c8f054
LEGOS_II,2013,6,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2013,6,ref_hs_hash,37f1fad19b2f
LEGOS_II,2013,6,ref_hs_summary,n=3630 mean=0.1514 std=0.0940
