case,year,month,product,sector,n_cells,hfr_mean,hsc_mean,hfi_mean
B,2013,5,CSAO_CS2,Amundsen_Bellingshausen,343,0.08477762341499329,0.018067527562379837,0.10284514725208282
C,2013,5,CSAO_CS2,Western_Weddell,479,0.14206548035144806,0.08307693898677826,0.22514241933822632
C,2013,5,CSAO_CS2,Eastern_Weddell,759,0.09330175817012787,0.037643518298864365,0.13094528019428253
C,2013,5,CSAO_CS2,Indian,350,0.07035656273365021,0.023114968091249466,0.09347153455018997
C,2013,5,CSAO_CS2,Western_Pacific,332,0.1238694116473198,0.03123149462044239,0.15510089695453644
C,2013,5,CSAO_CS2,Ross,1018,0.10171879827976227,0.03493945300579071,0.13665823638439178
C,2013,5,CSAO_CS2,Amundsen_Bellingshausen,343,0.08477762341499329,0.037004727870225906,0.12178235501050949
D,2013,5,CSAO_CS2,Western_Weddell,479,0.14206548035144806,0.07770287990570068,0.21976834535598755
D,2013,5,CSAO_CS2,Eastern_Weddell,759,0.09330175817012787,0.03520844131708145,0.12851020693778992
D,2013,5,CSAO_CS2,Indian,350,0.07035656273365021,0.021619711071252823,0.09197628498077393
D,2013,5,CSAO_CS2,Western_Pacific,332,0.1238694116473198,0.029211198911070824,0.15308061242103577
D,2013,5,CSAO_CS2,Ross,1018,0.10171879827976227,0.032679297029972076,0.13439808785915375
D,2013,5,CSAO_CS2,Amundsen_Bellingshausen,343,0.08477762341499329,0.03461097180843353,0.11938858777284622
A,2013,5,CryoTEMPO_CS2,Western_Weddell,479,0.08698634803295135,0.09125925600528717,0.17824561893939972
A,2013,5,CryoTEMPO_CS2,Eastern_Weddell,759,0.051275573670864105,0.041447531431913376,0.09272310882806778
A,2013,5,CryoTEMPO_CS2,Indian,350,0.04031938686966896,0.02534693107008934,0.0656663179397583
A,2013,5,CryoTEMPO_CS2,Western_Pacific,332,0.09927228093147278,0.03440004959702492,0.1336723268032074
A,2013,5,CryoTEMPO_CS2,Ross,1018,0.06030732020735741,0.0382964126765728,0.0986037328839302
A,2013,5,CryoTEMPO_CS2,Amundsen_Bellingshausen,343,0.05211322382092476,0.04063154384493828,0.09274476766586304
