case,year,month,sector,variable,spread,n_products
A,2014,10,Eastern_Weddell,hfr,0.0853998214006424,5
A,2014,10,Eastern_Weddell,hsc,0.024475399404764175,5
A,2014,10,Indian,hfi,0.07748499885201454,5
A,2014,10,Indian,hfr,0.06160375941544771,5
A,2014,10,Indian,hsc,0.029351232573390007,5
A,2014,10,Ross,hfi,0.08328738063573837,5
A,2014,10,Ross,hfr,0.05815884470939636,5
A,2014,10,Ross,hsc,0.035057540982961655,5
A,2014,10,Western_Pacific,hfi,0.058522142469882965,5
A,2014,10,Western_Pacific,hfr,0.06362832337617874,5
A,2014,10,Western_Pacific,hsc,0.02429325506091118,5
A,2014,10,Western_Weddell,hfi,0.12073493003845215,5
A,2014,10,Western_Weddell,hfr,0.08470867574214935,5
A,2014,10,Western_Weddell,hsc,0.03979937732219696,5
A,2015,5,Amundsen_Bellingshausen,hfi,0.029470346868038177,5
A,2015,5,Amundsen_Bellingshausen,hfr,0.03984861075878143,5
A,2015,5,Amundsen_Bellingshausen,hsc,0.01731516793370247,5
A,2015,5,Eastern_Weddell,hfi,0.05204666405916214,5
A,2015,5,Eastern_Weddell,hfr,0.04628847539424896,5
A,2015,5,Eastern_Weddell,hsc,0.019181957468390465,5
A,2015,5,Indian,hfi,0.028730809688568115,5
A,2015,5,Indian,hfr,0.023081935942173004,5
A,2015,5,Indian,hsc,0.020017599686980247,5
A,2015,5,Ross,hfi,0.027754008769989014,5
A,2015,5,Ross,hfr,0.033854104578495026,5
A,2015,5,Ross,hsc,0.015804005786776543,5
A,2015,5,Western_Pacific,hfi,0.024712592363357544,5
A,2015,5,Western_Pacific,hfr,0.02950447052717209,5
A,2015,5,Western_Pacific,hsc,0.020787037909030914,5
A,2015,5,Western_Weddell,hfi,0.10001920163631439,5
A,2015,5,Western_Weddell,hfr,0.09695738554000854,5
A,2015,5,Western_Weddell,hsc,0.04384240880608559,5
A,2015,6,Amundsen_Bellingshausen,hfi,0.04866396635770798,5
A,2015,6,Amundsen_Bellingshausen,hfr,0.041038163006305695,5
A,2015,6,Amundsen_Bellingshausen,hsc,0.01914912834763527,5
A,2015,6,Eastern_Weddell,hfi,0.05566775053739548,5
A,2015,6,Eastern_Weddell,hfr,0.04711688682436943,5
A,2015,6,Eastern_Weddell,hsc,0.01919405162334442,5
A,2015,6,Indian,hfi,0.02453210949897766,5
A,2015,6,Indian,hfr,0.023417044430971146,5
A,2015,6,Indian,hsc,0.017465021461248398,5
A,2015,6,Ross,hfi,0.06705301254987717,5
A,2015,6,Ross,hfr,0.04928523674607277,5
A,2015,6,Ross,hsc,0.028979524970054626,5
A,2015,6,Western_Pacific,hfi,0.0321127250790596,5
A,2015,6,Western_Pacific,hfr,0.0281442329287529,5
A,2015,6,Western_Pacific,hsc,0.017290787771344185,5
A,2015,6,Western_Weddell,hfi,0.09102281928062439,5
A,2015,6,Western_Weddell,hfr,0.08706950396299362,5
A,2015,6,Western_Weddell,hsc,0.03249434381723404,5
